ITEM: TIMESTEP 
30000
ITEM: NUMBER OF ATOMS
95
ITEM: BOX BOUNDS pp pp pp
0 5.31329
0 5.31329
0 5.31329
ITEM: ATOMS type xu yu zu id mol 
1 -14.1768 0.716496 2.32626 31 4 
1 -14.4953 0.0144202 2.56442 32 4 
1 -14.9462 -0.380554 3.069 33 4 
1 -15.3444 -0.835413 3.81214 34 4 
1 -16.1735 -0.797849 3.87117 35 4 
1 -17.0151 -0.730407 3.88956 36 4 
1 -17.8234 -0.885174 3.54264 37 4 
1 -18.4939 -1.35057 3.43603 38 4 
1 -19.3473 -1.51032 3.39751 39 4 
1 -20.0688 -1.2922 3.01862 40 4 
1 8.56847 18.9297 -4.4046 41 5 
1 7.92973 18.2699 -4.53584 42 5 
1 7.24201 17.6559 -4.69968 43 5 
1 6.63821 17.1623 -4.69152 44 5 
1 6.09262 16.4782 -4.8875 45 5 
1 5.69862 15.917 -4.59184 46 5 
1 5.52369 15.1429 -4.21626 47 5 
1 5.57717 14.5703 -3.60895 48 5 
1 5.72173 13.798 -3.455 49 5 
1 6.00948 13.2102 -2.96389 50 5 
2 0.570036 0.241126 0.513814 51 0 
2 1.0599 0.844169 0.424172 52 0 
2 4.67363 0.804065 0.2232 53 0 
2 1.67386 1.44099 0.553481 54 0 
2 2.02058 0.553639 1.11231 55 0 
2 2.32087 2.03617 0.689593 56 0 
2 0.61322 0.227951 1.5296 57 0 
2 1.34097 0.575998 1.39272 58 0 
2 4.6614 0.897792 1.0207 59 0 
2 1.64729 0.313601 2.43674 60 0 
2 4.69466 1.03641 1.73802 61 0 
2 2.25554 1.6004 2.90144 62 0 
2 4.58171 1.13133 2.52905 63 0 
2 2.25728 1.32489 3.72373 64 0 
2 4.0811 2.33975 3.58701 65 0 
2 3.99185 3.0052 4.17468 66 0 
2 1.00438 -0.17855 4.89885 67 0 
2 1.41558 0.323984 4.48578 68 0 
2 0.415265 1.11437 4.49205 69 0 
2 1.06656 1.65965 4.58865 70 0 
2 1.9333 0.951072 4.26548 71 0 
2 1.66561 2.22315 4.55744 72 0 
2 2.07567 2.87842 4.60779 73 0 
2 5.05202 0.837098 4.75366 74 0 
2 1.29062 3.2315 0.861205 75 0 
2 1.04976 3.85607 0.392174 76 0 
2 2.62945 5.5052 0.675357 77 0 
2 3.24698 5.00601 0.343025 78 0 
2 1.62444 2.65816 1.4683 79 0 
2 2.9414 2.65524 0.854657 80 0 
2 0.281542 4.22095 1.39132 81 0 
2 0.320854 4.87027 0.880965 82 0 
2 0.601757 2.86896 2.16686 83 0 
2 0.354335 3.56737 1.8179 84 0 
2 1.22808 5.13762 2.81191 85 0 
2 0.805251 4.76856 3.45035 86 0 
2 1.56078 3.96068 3.20773 87 0 
2 2.35301 3.94317 3.42543 88 0 
2 0.209198 4.48757 3.87245 89 0 
2 3.1124 4.17599 3.50755 90 0 
2 3.85345 4.46616 3.7083 91 0 
2 4.67731 4.46511 3.89602 92 0 
2 3.80369 3.78105 4.66702 93 0 
2 3.61299 4.46248 5.18638 94 0 
2 0.928381 4.5659 5.3523 95 0 
ITEM: TIMESTEP
30006
